Date,App Name,Category,Duration (seconds),Duration (formatted),Sessions
2026-02-25,Steam,Gaming,510,8m,2
2026-02-22,Zen Browser,Entertainment,8072,2h 14m,109
2026-02-22,Ghostty,Development,4955,1h 22m,140
2026-02-22,Dev.zed.Zed,Development,2264,37m,114
2026-02-22,Files,Uncategorized,111,1m,16
2026-02-22,Org.gnome.Calculator,Uncategorized,34,0m,4
2026-02-22,Com.gabm.satty,Uncategorized,10,0m,4
2026-02-22,Li.oever.aether,Uncategorized,10,0m,6
2026-02-22,Org.omarchy.screensaver,Uncategorized,10,0m,5
2026-02-22,Chromium,Uncategorized,9,0m,4
2026-02-22,Alacritty,Uncategorized,5,0m,2
2026-02-17,Zen Browser,Entertainment,13124,3h 38m,150
2026-02-17,Stremio-enhanced,Uncategorized,12819,3h 33m,43
2026-02-17,Ghostty,Development,2979,49m,153
2026-02-17,Terminal,Uncategorized,209,3m,13
2026-02-17,Imv,Uncategorized,179,2m,10
2026-02-17,Files,Uncategorized,148,2m,26
2026-02-17,Chrome,Uncategorized,39,0m,1
2026-02-17,Org.omarchy.impala,Uncategorized,26,0m,3
2026-02-17,Org.omarchy.screensaver,Uncategorized,26,0m,1
2026-02-17,Org.omarchy.bash,Uncategorized,12,0m,1
2026-02-17,Polkit-gnome-authentication-agent-1,Uncategorized,6,0m,1
2026-02-17,Com.gabm.satty,Uncategorized,3,0m,1
2026-02-15,Stremio-enhanced,Uncategorized,9612,2h 40m,20
2026-02-15,Zen Browser,Entertainment,4447,1h 14m,49
2026-02-15,Ghostty,Development,2168,36m,49
2026-02-15,Files,Uncategorized,594,9m,26
2026-02-15,Firefox,Uncategorized,74,1m,3
2026-02-15,Terminal,Uncategorized,57,0m,2
2026-02-15,Org.omarchy.screensaver,Uncategorized,45,0m,2
2026-02-15,Org.omarchy.impala,Uncategorized,7,0m,1
2026-02-14,Stremio-enhanced,Uncategorized,5434,1h 30m,9
2026-02-14,Zen Browser,Entertainment,1873,31m,7
2026-02-14,Terminal,Uncategorized,169,2m,6
2026-02-14,Faugus-launcher,Uncategorized,93,1m,2
2026-02-14,Org.omarchy.impala,Uncategorized,7,0m,1
2026-02-11,Stremio-enhanced,Uncategorized,7417,2h 3m,2
2026-02-11,Zen Browser,Entertainment,4186,1h 9m,5
2026-02-11,Org.omarchy.bash,Uncategorized,24,0m,1
2026-02-11,Ghostty,Development,2,0m,1
2026-02-10,LibreOffice,Uncategorized,2787,46m,3
2026-02-10,Zen Browser,Entertainment,2506,41m,32
2026-02-10,Files,Uncategorized,548,9m,23
2026-02-10,Chrome,Uncategorized,194,3m,14
2026-02-10,Ghostty,Development,157,2m,19
2026-02-10,Org.omarchy.nvim,Uncategorized,113,1m,6
2026-02-10,Org.gnome.Evince,Uncategorized,97,1m,2
2026-02-10,Org.omarchy.screensaver,Uncategorized,71,1m,2
2026-02-10,Soffice,Uncategorized,13,0m,2
2026-02-10,Xdg-desktop-portal-gtk,Uncategorized,10,0m,1
2026-02-08,Zen Browser,Entertainment,13334,3h 42m,87
2026-02-08,Ghostty,Development,6634,1h 50m,109
2026-02-08,Dev.zed.Zed,Development,948,15m,55
2026-02-08,Org.omarchy.screensaver,Uncategorized,303,5m,2
2026-02-08,Terminal,Uncategorized,191,3m,4
2026-02-08,Files,Uncategorized,9,0m,2
2026-02-07,Zen Browser,Entertainment,2936,48m,10
2026-02-07,Terminal,Uncategorized,998,16m,6
2026-02-07,Steam,Gaming,635,10m,2
2026-02-07,Ghostty,Development,293,4m,2
2026-02-07,Org.omarchy.bash,Uncategorized,142,2m,3
2026-02-07,Org.omarchy.nvim,Uncategorized,35,0m,2
2026-02-06,Zen Browser,Entertainment,2401,40m,37
2026-02-06,Ghostty,Development,1429,23m,56
2026-02-05,Zen Browser,Entertainment,12878,3h 34m,25
2026-02-05,Ghostty,Development,1496,24m,28
2026-02-05,Org.omarchy.screensaver,Uncategorized,313,5m,3
2026-02-05,Org.omarchy.bash,Uncategorized,297,4m,2
2026-02-05,Terminal,Uncategorized,243,4m,1
2026-02-05,Org.omarchy.impala,Uncategorized,110,1m,5
2026-02-05,Net.nokyan.Resources,Uncategorized,53,0m,1
2026-02-05,Files,Uncategorized,38,0m,5
2026-02-05,Org.omarchy.btop,Uncategorized,20,0m,1
2026-02-05,Com.gabm.satty,Uncategorized,9,0m,1
2026-02-01,Zen Browser,Entertainment,12354,3h 25m,57
2026-02-01,Ghostty,Development,1949,32m,36
2026-02-01,Steam_app_0,Uncategorized,423,7m,3
2026-02-01,PandoraLauncher,Uncategorized,303,5m,13
2026-02-01,Epic Games Launcher,Uncategorized,261,4m,19
2026-02-01,Chrome,Uncategorized,196,3m,16
2026-02-01,Vesktop,Uncategorized,188,3m,18
2026-02-01,Terminal,Uncategorized,147,2m,5
2026-02-01,Org.omarchy.nvim,Uncategorized,131,2m,1
2026-02-01,Files,Uncategorized,97,1m,21
2026-02-01,Li.oever.aether,Uncategorized,38,0m,1
2026-02-01,Org.omarchy.screensaver,Uncategorized,33,0m,6
2026-02-01,Org.omarchy.impala,Uncategorized,31,0m,4
2026-02-01,Faugus-launcher,Uncategorized,19,0m,3
2026-02-01,7zfm.exe,Uncategorized,10,0m,1
2026-02-01,Org.omarchy.bash,Uncategorized,8,0m,1
2026-02-01,Rundll32.exe,Uncategorized,5,0m,1
2026-02-01,Faugus-run,Uncategorized,3,0m,1
2026-01-31,Ghostty,Development,2175,36m,44
2026-01-31,Zen Browser,Entertainment,1249,20m,36
2026-01-31,Files,Uncategorized,531,8m,29
2026-01-31,Mpv,Uncategorized,489,8m,13
2026-01-31,Org.gnome.Evince,Uncategorized,164,2m,18
2026-01-31,Telegram,Uncategorized,141,2m,11
2026-01-31,Org.omarchy.btop,Uncategorized,45,0m,1
2026-01-31,Org.omarchy.screensaver,Uncategorized,23,0m,2
2026-01-31,Org.omarchy.impala,Uncategorized,22,0m,3
2026-01-31,Dev.zed.Zed,Development,8,0m,7
2026-01-30,Ghostty,Development,13958,3h 52m,424
2026-01-30,Zen Browser,Entertainment,13222,3h 40m,368
2026-01-30,Dev.zed.Zed,Development,4146,1h 9m,143
2026-01-30,Antigravity,Uncategorized,2469,41m,104
2026-01-30,Chromium,Uncategorized,1026,17m,31
2026-01-30,Chrome,Uncategorized,865,14m,60
2026-01-30,Org.omarchy.screensaver,Uncategorized,808,13m,19
2026-01-30,Files,Uncategorized,610,10m,43
2026-01-30,Terminal,Uncategorized,570,9m,13
2026-01-30,Org.omarchy.impala,Uncategorized,261,4m,6
2026-01-30,Org.gnome.Evince,Uncategorized,113,1m,6
2026-01-30,Org.omarchy.btop,Uncategorized,104,1m,9
2026-01-30,Telegram,Uncategorized,81,1m,16
2026-01-30,Xdg-desktop-portal-gtk,Uncategorized,52,0m,5
2026-01-30,Org.omarchy.bash,Uncategorized,20,0m,1
2026-01-30,Com.gabm.satty,Uncategorized,7,0m,2
2026-01-30,Imv,Uncategorized,6,0m,2
2026-01-26,Ghostty,Development,11647,3h 14m,160
2026-01-26,Stremio-enhanced,Uncategorized,11120,3h 5m,66
2026-01-26,Zen Browser,Entertainment,10670,2h 57m,101
2026-01-26,Steam_app_0,Uncategorized,1216,20m,22
2026-01-26,Files,Uncategorized,610,10m,33
2026-01-26,Telegram,Uncategorized,592,9m,20
2026-01-26,Faugus-launcher,Uncategorized,402,6m,42
2026-01-26,Steam_app_whatsapp,Uncategorized,217,3m,20
2026-01-26,Org.omarchy.nvim,Uncategorized,214,3m,6
2026-01-26,Org.omarchy.btop,Uncategorized,159,2m,4
2026-01-26,Faugus-run,Uncategorized,131,2m,31
2026-01-26,Xdg-desktop-portal-gtk,Uncategorized,105,1m,19
2026-01-26,Terminal,Uncategorized,98,1m,1
2026-01-26,Gamescope,Uncategorized,72,1m,5
2026-01-26,Org.omarchy.screensaver,Uncategorized,58,0m,2
2026-01-26,VLC,Uncategorized,51,0m,4
2026-01-26,Imv,Uncategorized,43,0m,8
2026-01-26,Org.omarchy.impala,Uncategorized,34,0m,7
2026-01-26,Org.omarchy.wiremix,Uncategorized,24,0m,1
2026-01-26,Chrome,Uncategorized,23,0m,4
2026-01-26,Epic Games Launcher,Uncategorized,17,0m,5
2026-01-26,7zfm.exe,Uncategorized,17,0m,3
2026-01-26,Io.github.kaii_lb.Overskride,Uncategorized,13,0m,1
2026-01-26,7z2409-x64.exe,Uncategorized,11,0m,3
2026-01-26,Rundll32.exe,Uncategorized,9,0m,4
2026-01-26,Explorer.exe,Uncategorized,8,0m,1
